symbol,exchange,organ_name,industry
YEG,HSX,Công ty Cổ phần Tập đoàn Yeah1,Truyền thông
YBM,HSX,Công ty Cổ phần Khoáng sản Công nghiệp Yên Bái,Tài nguyên Cơ bản
X20,HNX,Công ty Cổ phần X20,Hàng cá nhân & Gia dụng
WSS,HNX,Công ty Cổ phần Chứng khoán Phố Wall,Dịch vụ tài chính
WCS,HNX,Công ty Cổ phần Bến xe Miền Tây,Hàng & Dịch vụ Công nghiệp
VTZ,HNX,Công ty Cổ phần Sản xuất và Thương mại Nhựa Việt Thành,Hóa chất
VTV,HNX,Công ty Cổ phần Năng lượng và Môi trường VICEM,Xây dựng và Vật liệu
VTP,HSX,Tổng Công ty Cổ phần Bưu chính Viettel,Hàng & Dịch vụ Công nghiệp
VTO,HSX,Công ty Cổ phần Vận tải Xăng dầu VITACO,Hàng & Dịch vụ Công nghiệp
VTJ,HNX,Công ty Cổ phần Thương mại và Đầu tư VI NA TA BA,Hàng cá nhân & Gia dụng
VTH,HNX,Công ty Cổ phần Dây cáp điện Việt Thái,Hàng & Dịch vụ Công nghiệp
VTC,HNX,Công ty Cổ phần Viễn Thông VTC,Công nghệ Thông tin
VTB,HSX,Công ty Cổ phần Viettronics Tân Bình,Hàng & Dịch vụ Công nghiệp
VSM,HNX,Công ty Cổ phần Container Miền Trung,Hàng & Dịch vụ Công nghiệp
VSI,HSX,Công ty Cổ phần Đầu tư và Xây dựng Cấp thoát nước,Xây dựng và Vật liệu
VSH,HSX,Công ty Cổ phần Thủy điện Vĩnh Sơn - Sông Hinh,"Điện, nước & xăng dầu khí đốt"
VSC,HSX,Công ty Cổ phần Container Việt Nam,Hàng & Dịch vụ Công nghiệp
VSA,HNX,Công ty Cổ phần Đại lý Hàng hải Việt Nam,Hàng & Dịch vụ Công nghiệp
VRE,HSX,Công ty Cổ phần Vincom Retail,Bất động sản
VRC,HSX,Công ty Cổ phần Bất động sản và Đầu tư VRC,Bất động sản
VPS,HSX,Công ty Cổ phần Thuốc sát trùng Việt Nam,Hóa chất
VPL,HSX,Công ty Cổ phần Vinpearl,Du lịch và Giải trí
VPI,HSX,Công ty Cổ phần Phát triển Bất động sản Văn Phú,Bất động sản
